ID,Nome,Telemovel,Referencia,Familia de,Nacionalidade,Pedidos,Notas
156,Candace Mayer,+18395428731,Brandi Quitzon,3,brasileira,,
157,Faith Dare,+18433874757,Ross Gibson,6,"Columbiano ",,
158,Leonard Kulas IV,+17044782874,Jeffery Rosenbaum,4,"Brasileiro ",menino 7,
159,Nora Armstrong,+13164738029,Ricky Pfannerstill,2,peruana,,
160,Catherine Schneider,+12032771672,Vincent Sipes,3,"Brasileiros ",,
161,Catherine Jast,+15754678183,Gail Sauer Jr.,3,"brasileiro ",,12 anos e 22 anos
162,Shawna Ullrich,+14334479883,Megan Rosenbaum,3," Brasileiros",,
163,Tiffany Pollich,+13677236004,Clinton Morar,2,brasileiro,,
164,Marcia Armstrong,+17106926250,Homer Bins,2,brasileiro,,
165,Ramona Ortiz,+12262651278,Erica Robel,3,"brasileiro ",,roupas crian�a
166,Edmund Rath,+15169436470,Jordan Kunde,4,"colombiano ",,
167,Paulette Paucek,+13934339582,Simon Wolf,3,Portuguesa,,
168,Marta Prosacco,+14459359755,Diane Braun,3,,,
169,Vanessa Jast,+19442115032,Carolyn Crist,1,Brasileiro,,
170,Martha Brown,+13665453198,Alan Kuhic-Hessel,1,Peru,,
171,Ms. Robyn Ruecker II,+12367666267,Nina Russel,,,,
172,Garry Schaefer,+14743565734,Mr. Alan Macejkovic,,,,
173,Miss Amber Feeney,+15848655271,Mrs. Lynette Hauck,,,,
174,Christine Quigley,+19582734643,Everett Kris,1,Brasileira,,
175,Seth Wolff Jr.,+14019552036,Maxine Carter,1,"Brasileiro ",,
176,Gina Beier,+13288590044,Dominick Tillman,3,Brasileiros,,
177,Raquel Bahringer,+16034101814,Lyle Howell,1,Columbiano,,
178,Bryant Sauer,+12136431486,Darin Kuhic-Carter,5,"Portugu�s ",,"girls 8, 19, 15"
179,Ira Jakubowski,+13486283854,Guadalupe O'Kon,5,Brasileira,,
180,Bryan Toy,+12244429238,Ernest Rodriguez,3,"ucraniana ",,
181,Patty Stanton,+12964367902,Juan Beatty,1,Brasileira,,
182,Javier Willms,+17437174230,Keith Herzog,3,brasileira,,
183,Roman Shields DDS,+18258029774,Loretta Bruen,3,Brasileira,,
184,Maria Murray,+16775720660,Felicia Price DVM,2,,,
185,Greg Muller-Bashirian,+12637182153,Mr. Enrique Gleason Jr.,3,Cuba,,Girl 6
186,Hilda Hane,+18995663476,Janice Bartoletti,1,Peruano,,
187,Mr. Garry Gottlieb-Boyer,+13106164454,Olive Jaskolski-Lesch,,,,
188,Kerry Buckridge,+15028443527,Constance Olson,6,brasileira,,
189,Vivian Walter,+16533062748,Dwight Deckow,,"brasileira ",,
190,Ollie Collier,+19338090741,Elbert Greenfelder IV,4,"Brasileiro ",,"boy 10, 5, 8"
191,Jonathon Rolfson,+17889882977,Curtis Corkery DDS,,,,
192,Terrence Gleason,+18257889706,Julio Rogahn,3,Brasileiro,,
193,Nathan Orn,+17215359478,Iris Wiegand Jr.,,,,Avisados
194,Elisa Boyle,+14255069837,Max Bednar,2,"Brasileiro ",,
195,Kelly Auer,+17402830648,Billie Altenwerth Sr.,,,,Avisados
196,Vickie Nikolaus,+13295252266,Jessie Hills,,,,Avisados
197,Garrett Hammes,+19767845248,Sabrina Lang,1,"brasileiro ",,
198,Eddie Keebler,+16084858513,Shane Durgan,4,,,
199,Erma Bruen,+17288415223,Elias Larson,6,,,
200,Anne Pfannerstill,+13545956541,Mrs. Guadalupe Ullrich V,1,"Brasileira ",,
201,Dr. Ronnie Runte,+18438603428,Mr. Grant Grimes,4,brasileira,,menina 9 e menino 3
202,Dr. Kristin Goldner,+16539471675,Edna Stamm,5,"Colombiano ",,
203,Sandra Denesik,+14797061790,Nathaniel Lebsack,6,Columbiano,,
204,Noah Olson,+14619889967,Ms. Kristen VonRueden,6,columbiano,,
205,Dorothy Fritsch,+12439501813,Melvin Wolff,5,"Colombiano ","1 cama de solteiro. Bairro da Alegria. ",
206,Eduardo Lemke,+14347494101,Sandy Wyman,1,Angolano,,
207,Della Barton,+13059827623,Mr. Alfredo Bradtke Jr.,,,,
208,Dr. Louis Hane,+15066964891,Beulah Jakubowski II,,,,
209,Zachary Stehr,+15063636210,Grant Crona,,Brasileiro,,
210,Mr. Morris Dickens,+14875290629,Yvette Ratke,4,brasileira,,menina 2 anos
211,Maxine Hilll,+12696924943,Patty Buckridge,3,Brasileira,,
212,Miss Esther Bogan,+16695955112,Emma Prohaska,2,Brasileiros,,
213,Ronald Metz,+16627514656,Zachary Nolan,3,brasileira,,
214,Eileen Swaniawski,+14758012629,Amy Corwin,1,Peruano,,
215,John Howe,+13628553594,Oscar Rogahn,1,brasileiro,,
216,Sheldon Torphy,+12839959931,Ricardo Cronin,5,"angola ",,"3 crian�as: 10 anos, 7 anos e 4 anos"
217,Warren Little,+17117481649,Sarah Douglas,1,"portugu�s ",,
218,Miss Sherri Donnelly DDS,+13698232930,Lula Feest,4,"Portugu�s ",,
219,Randy Cummerata,+18952715707,Willie Yost,2,,,
220,Agnes Wyman,+15078366423,Ashley Cruickshank Sr.,2,Portuguesa,,
221,Alison Bernier,+16082973821,Bobbie Wiza-Stracke,2,portuguesa,,
222,Melinda Botsford,+14334773259,Jean Schmeler,,"brasileiros ",,
223,Maryann Hand,+14863349187,Tricia Ritchie,,,,
224,Lorraine Anderson,+15497937241,Rodney Corkery,1,"Brasileiro ",,
225,Betsy Murray,+13102248438,Neil Borer,,,,
226,Lynn Dach DDS,+14918375173,Lena Spencer,2,"brasileiros ",,
227,Bradford Runte-Block DDS,+13299974554,Leroy Jones,3,Brasileiro,,
228,Clarence Schiller,+14019555453,Dr. Zachary Mann Sr.,3,"colombianos ",,
229,Bethany Hamill,+12293109116,Charles Price,1,Espanhol,,
230,Earnest Bednar,+17034038218,Raymond Effertz,,,,
231,Dr. Harvey Cole PhD,+19303739031,Miss Eileen Dooley,2,Brasileiro,,
232,Dr. Benny Leannon,+16575758754,Willie Gleichner,1,Espanhol,,
233,Faye Bosco,+19426501327,Dexter Weimann-Johnston,5,Brasileiro,,
234,Gordon Swift,+13689174887,Wilfred Hackett,3,Portuguesa,,
235,Jake Effertz II,+19265519688,Sabrina Bauch,1,espanhol,,
236,Miss Mamie Bauch,+14337272647,Eleanor Brakus,3,,,
237,Phillip Feeney II,+17342863297,Dewey Howell,4,Brasileiros,,
238,Gayle Sanford Jr.,+18096620197,Cathy Reinger,4,"Brasileira ",,
239,Winifred Hudson,+16997767743,Jamie Reichert,1,Nepal,"gr�vida ",
240,Marguerite Jerde,+15328003649,Kathryn Paucek,1,peruano,,
241,Susie Jacobi,+14307408352,Crystal Lueilwitz,1,"colombiano ",,
242,Guy Price,+16313060083,Charlene Weissnat,3,"colombiano ",,
243,Molly Runolfsson PhD,+17416132661,Roland Wisozk,2,"Brasileiros ",,gravida
244,Cindy Littel,+18833128259,Kelly Feil,2,"Brasileiros ",,
245,Mercedes Rohan,+17835345040,Sean Brown,6,,,
246,Jonathon Gibson,+19226635151,Cheryl Kutch,1,brasileiro,,
247,Nichole Wisoky,+14849271536,Regina Towne,1,Argelino,,
248,Nellie Connelly,+17215507171,Julian Gulgowski,2,columbiano,,
249,Brent Klein,+12142061491,Mandy Crooks,10,"Espanhola ",,
250,Rhonda Russel,+15677790745,Morris Glover,1,"Colombiana ",,
251,Francis Cormier,+15453010219,Levi O'Keefe,3,brasileira,,
252,Percy Cartwright,+14172546340,Santos Cummings,1,Brasileira,,
253,Oscar Schulist,+17034958954,Ross Bode,4,brasileira,,
254,Sherman Crist,+17388262449,Heather Bosco DVM,4,,,
255,Blake Larkin,+18356772788,Georgia Yundt,9,"Brasileiros ",,
256,Billy Flatley,+19647957321,Ida Cormier,,,,
257,Rex Daniel,+12094571970,Jacqueline Rohan,6,Brasileiros,,
258,Mae Crist,+13066177833,Samuel Prohaska,1,Gambiano,,"virar a p�gina "
259,Terrence Feeney,+18487766847,Ramona Fay III,2,Columbiano,,
260,Richard Moen,+12392375103,Lowell Streich,,Bangladesh,,
261,Camille Murazik,+16586170421,Lionel Larson DDS,4,angolana,,
262,Esther Hammes,+12637674214,Virgil Abernathy,,,,
263,Pearl Wisozk,+18459588427,Regina Sipes,3,azerbaijan,,
264,Ernestine Osinski,+12037259282,Tabitha Mann,,Ucraniana,,
265,Jon Kerluke,+18218034458,Louise O'Kon,4,Colombiano,,boys 16 and 12
266,Preston Orn IV,+18606851929,Charlene Wintheiser,4,Nepal,,
267,Janice Romaguera,+18445811301,Darrin Luettgen-Rodriguez,2,Guin�,,Menino 6
268,Miss Nina Padberg Sr.,+18002380444,Martha Hermann,2,"Guin� ",,menino 6
269,Clara Rohan,+17874675452,Dean Bernier,5,Portuguesa,,boy 2 girl 10
270,Rene Blanda-Heathcote,+15877905822,Miss Lori Mertz,,,,
271,Violet Ruecker,+16099344437,Enrique Champlin,1,brasileiro,,
272,Miss Jan Pouros,+18393043944,Guadalupe Fay IV,1,Peruano,,
273,Bernice Russel,+15918570523,Doyle Jacobs,,,,
274,Nathaniel Davis,+17558366451,Rachael Ortiz,,,,
275,Frank Nader,+12713355036,Bonnie Larson,3,Columbiano,,
276,Debbie Champlin,+16276579046,Jamie Marks,3,Columbian,,"Girl 10 "
277,May Wiegand,+12643064405,Hector Lind,4,,,4 sacos de roupa
278,Ernest Kuhlman,+12435688017,Cheryl Dooley,5,"Espanhol ",,
279,Lynn Gerlach,+13888746321,Rhonda Crona,,Ucraniana,"Lencois de bebe, alimentacoes",Apulia - gravida
280,Joshua Bashirian MD,+16127334112,Mr. Clay Durgan,,Ucraniana,,
281,Jimmy Pouros,+15324995941,Randal Champlin,4,"columbiano ",,meninos 3 anos e 7 anos
282,Heather Thiel,+12445578600,Mildred Feest,,,,
283,Delbert Reynolds,+18762712123,Angelo Schaden,2,"brasileira ",,
284,Bethany Hills MD,+19764680726,Marlon Hane,,,,
285,Krista Doyle,+17805480832,Tyler Welch,2,Brasileiros,,
286,Lucille Mraz,+17359920175,Horace Littel,5,"Uruguai ",,
287,Jeanne Ledner,+16159374143,Mrs. Lula Hoppe,3,Peru,,menino 1
288,Sandy Brakus IV,+16848077829,Emilio Bernier,2,brasileira,,
289,Tomas Yundt,+14722776079,Misty Kunze,3,Brasileira,,
290,Laurence Mante,+12468356688,Perry Barrows,3,Brasileira,,beb� janeiro
291,Max Ziemann,+18396033188,Stuart Bergnaum,2,"Portugu�s ",,
292,Clayton Emmerich,+14937780378,Mr. Daniel Turcotte Sr.,1,"portugu�s ",,mora na rua
293,Julio Shields,+17365060503,Erica Russel,3,brasileira,,boy 12
294,Nathan Wehner,+12359839154,Gerald Botsford,3,Columbiano,,
295,Jessica Collier,+17983184134,Ada Abbott,1,"Portugu�s ",,
296,Ellis Mohr,+15752018804,Alonzo Ritchie,1,"Brasileiro ",,
297,Marcus Doyle,+14177125851,Valerie Abbott,1,colombiana,,
298,Andre Stracke,+12205920751,Bessie Koch IV,3,"portuguesa ",,
299,Felipe Marks,+19239648123,Cristina Gerhold,,,,
300,Kerry Lakin,+18073163985,Meghan Lind,7,Br�s./Columbia.,,
301,Sally Russel-Osinski,+19369075816,Sally Gleichner,2,"Guin� ",,gravida
302,Conrad O'Keefe,+18867084460,Mr. Lionel Kassulke,3,"B�lgaro ",,roupa bebe
303,Jan Denesik,+13103658525,Madeline Bradtke,4,Mexicana,meninos 5 e 8,
304,Kendra Jacobson,+16209994376,Lena Koelpin,3,,,Boys 2
305,Gwen Mohr,+13998079029,Kay Rippin-Dietrich,,,,
306,Dr. Trevor Boehm DDS,+15796391164,Marty Robel,2,columbiano,,
307,Misty Feil,+19472077409,Earl Baumbach,,,,
308,Gerald Goldner,+14077337995,Cassandra Howell,6,,,
309,Nadine Von,+14313571903,Rogelio Hartmann,1,Columbiano,,
310,Charles Bartell,+13382018781,Mr. Pedro Rempel,,,,
311,Holly Gislason,+19534974413,Sean Smith,5,"Brasileiro ",,
312,Salvador Schuster,+15109108469,Mr. Trevor Jacobson,1,portuguesa,,
313,Mrs. Christie Reilly,+16686531924,Beatrice Bogan DVM,3,Colombianos,,
314,Alfred Hagenes II,+14925235177,Rose Luettgen,1,"Portuguesa ",,
315,Dr. Alison Gerhold,+15784313003,Ms. Elsie Ortiz,,,Carrinho 7m e 2,Avisados
316,Ignacio Bins,+13607126301,Dr. Sandy Smitham,1,"brasileira ",,
317,Tricia Wisoky,+19235945127,Roy D'Amore,5,Colombiana,,
318,Kelli Hagenes,+18103408310,Lynette Stehr II,3,brasileira,,
319,Ellen Torphy,+13563105894,Beatrice McGlynn,2,Brasileiros,,
320,Alma Koss,+14263311328,Alison Crona,"Centro ",Portuguesa,,
321,Eula Hermiston,+13227847930,Dominic Weissnat,1,Portuguesa,,
322,Bob Murazik,+12393653803,Martin Conn,,portuguesa,,
323,Geraldine White,+12466208836,Dr. Vincent O'Hara,3,Portuguesa,,Baby Girl Boys 5 and 7
324,Hector Sporer,+14995125142,Lynn Rau,,,,
325,Santiago Koch,+16789386233,Kurt Schowalter,4,Portuguesa,,
326,Michele Kovacek,+15608005496,Joann Langworth,2,Portuguesa,,
327,Charlie Mitchell,+14963385187,Pablo Stiedemann,3,americana,,
328,Helen Schoen,+18282100005,Blake Becker,,,"Carrinho 7m mesa cadeira ",Avisados
329,Sandra Walsh V,+13185987016,Mack Barton,,,,
330,Clarence Parker,+18878258886,Marsha Abernathy,3,Brasileiros,girl 5,
331,Randolph Toy,+16653053572,Eloise Kihn,6,Portuguesa,,Crian�a 5
332,Troy McCullough,+12619706340,Michael Cummings I,,,,
333,Ed Brekke,+18029360519,Dominick Treutel IV,4,"Brasileira ",,
334,Levi Lehner,+14522913674,Rachael Frami,1,Columbiano,,
335,Julie Nader,+15923985928,Erik Mann,4,Brasileiro,,
336,Nancy Sipes,+13165276568,Tabitha McKenzie,,,,
337,Daisy Pacocha,+15094093878,Douglas Kulas,1,Colombiano,,
338,Walter Rutherford,+15425818161,Norman Bauch,2,"brasileira ",,
339,Phillip Rosenbaum,+16153111528,Dora Feeney-Mitchell,4,China,,
340,Elijah Mante,+18938550510,Elsie Feil,,,,
341,Rufus Padberg,+14707204132,Bennie Hamill,4,Brasileira,,Boys 5 e 2
342,Meredith Harris,+19123069081,Andy Lesch PhD,,,,
343,Alan Spinka,+12459969946,Meredith Pacocha,,,,
344,Jeremy Koch,+17757546966,Jesus Boehm,,,,
345,Leonard Considine DVM,+17196213977,Nadine Lang,2,Brasileiros,,
346,Mrs. Shirley Johnston,+13682665172,Hattie Abbott,3,Nepal,,menina 9 meses
347,Lynette King,+15112343160,Cary Anderson,7,Congolesa,,
348,Patricia Cronin,+18669144860,Jessie Zieme,,,,
349,Gene Witting,+17819704906,Nathan Wiza,,,,
350,Terrell Hahn,+14576342750,Dr. Joey Lockman II,5,,,
351,Silvia Orn,+16113100562,Sandy Pollich,2,"Brasileiro ",,
352,Kent Langosh,+12715235082,Joey Wintheiser,,,,
353,Patti Dooley,+14956625018,Marty Tillman,,Ucraniana,,
354,Bonnie Hyatt,+14667129663,Glenda Mertz,4,Colombiana,,
355,Hattie MacGyver,+13052998751,Randolph Predovic,4,Brasileiro,meninas de 3 e 6,
356,Ms. Naomi Christiansen,+19933156612,Clayton Kuhic,,Ucraniana,,
357,Blake Koss,+14527640628,Roman Christiansen,4,Argentinos,,
358,Roman Kutch,+18238317968,Sophie Krajcik,2,Brasileira,,
